,trace_mean,trace_median,trace_variance,trace_std,trace_min,trace_max,trace_skewness,trace_kurtosis,trace_energy,trace_peak_to_peak,trace_q25,trace_q75,cipher_mean,cipher_variance,cipher_std,cipher_entropy,cipher_unique_ratio,cipher_max_symbol_prob,cipher_zero_ratio,cipher_adjacent_equal_ratio,cipher_autocorr1
trace_mean,1.0,0.673650880227765,0.9079382610008401,0.9308250572772203,0.056507148719816616,0.9358779960442984,0.9308263625509193,0.9199621674861864,0.9151712368922317,0.9193842296765177,0.5043083280854086,0.833452835228768,0.03386687628329023,-0.03797763972306274,-0.05562622732628938,-0.8165625151965218,-0.8237120493193847,0.3666151880690473,0.027902287540208962,-0.04944045502945798,-0.0866532615728286
trace_median,0.673650880227765,1.0,0.4114328730340231,0.44033051946265317,0.05625198102221723,0.4639938000241386,0.4305664833135527,0.44264165609876743,0.4264066011322918,0.4517705349982039,0.6455610567195939,0.7088503275262977,0.0626664123030495,-0.011208955750465578,-0.019063771773054915,-0.5006441785208658,-0.5024857723675579,0.2566976762885107,0.03641303467920164,-0.0020078350231157,-0.09337779132777985
trace_variance,0.9079382610008401,0.4114328730340231,1.0,0.9922151435827026,-0.021797922249115875,0.9627766005325925,0.9376783598447265,0.9521640261857494,0.9995445701801892,0.9572615099769511,0.23079342497995767,0.651519613321683,-0.005309405900290556,-0.047912480633261256,-0.06390534730861812,-0.7112633763985107,-0.7197859324160392,0.2912443850727524,0.023749926756398754,-0.07502911039205759,-0.0483980653242611
trace_std,0.9308250572772203,0.44033051946265317,0.9922151435827026,1.0,-0.023396718563556098,0.9790999672148736,0.9645543904225184,0.9676782022972991,0.9918132654912842,0.9736675015120543,0.24541261501532385,0.6963672247814459,0.0016253442356568186,-0.04248292508285689,-0.05980567852297173,-0.7711420639293547,-0.7794606164761798,0.3258037247273933,0.02217921645442739,-0.06711337035956785,-0.060769090113660065
trace_min,0.056507148719816616,0.05625198102221723,-0.021797922249115875,-0.023396718563556098,1.0,0.009389268280422376,0.07652234766077419,-0.0012222090202101403,-0.016627406996100345,-0.13398098158084448,0.07565774409052921,0.012432412231125553,-0.0004879905644431494,-0.012681468084170974,-0.014763187849267263,-0.029493187611532357,-0.030675485755944552,0.02050920632112,0.038413679617354944,-0.01211120574860493,0.044643477427558705
trace_max,0.9358779960442984,0.4639938000241386,0.9627766005325925,0.9790999672148736,0.009389268280422376,1.0,0.9805320535051284,0.9844742899514068,0.9633359669842853,0.9896822371867643,0.2947809075389007,0.6967180995020399,0.003406484321320038,-0.04027806870905216,-0.059003297946344756,-0.8052795851029979,-0.8133258162575066,0.3530206196457097,0.02440214952709401,-0.060467220299522825,-0.06410274265314471
trace_skewness,0.9308263625509193,0.4305664833135527,0.9376783598447265,0.9645543904225184,0.07652234766077419,0.9805320535051284,1.0,0.9798893402017969,0.938328116939546,0.960769733966648,0.287333999073788,0.6815186870106257,0.008141855902858274,-0.035760777397038784,-0.05466346183647624,-0.832701879121325,-0.8404807554271594,0.37120394739201595,0.024021587467266264,-0.049885291784969865,-0.06496870537763345
trace_kurtosis,0.9199621674861864,0.44264165609876743,0.9521640261857494,0.9676782022972991,-0.0012222090202101403,0.9844742899514068,0.9798893402017969,1.0,0.9528403770335381,0.9758163060540935,0.3178439761128828,0.6484316379256165,0.0008396003229281287,-0.035482831135114766,-0.05364802636880584,-0.7763589371747621,-0.7843721151650136,0.33660063259995904,0.020980685107994283,-0.05855740820391324,-0.05963944009753318
trace_energy,0.9151712368922317,0.4264066011322918,0.9995445701801892,0.9918132654912842,-0.016627406996100345,0.9633359669842853,0.938328116939546,0.9528403770335381,1.0,0.957074995187043,0.24765231507906107,0.6603210830554624,-0.0034672759486868657,-0.04764984784605997,-0.06366429933432377,-0.7120997391989451,-0.7205943681598764,0.2921939021587257,0.02428428001869705,-0.07433900851068811,-0.04892212069417464
trace_peak_to_peak,0.9193842296765177,0.4517705349982039,0.9572615099769511,0.9736675015120543,-0.13398098158084448,0.9896822371867643,0.960769733966648,0.9758163060540935,0.957074995187043,1.0,0.2812953160618609,0.6886854672724732,0.003445845334739694,-0.038099605223128205,-0.05635854271181561,-0.7938283229258678,-0.801632953251998,0.34691449001890173,0.018679056784415733,-0.05818931798244157,-0.06992437001540434
trace_q25,0.5043083280854086,0.6455610567195939,0.23079342497995767,0.24541261501532385,0.07565774409052921,0.2947809075389007,0.287333999073788,0.3178439761128828,0.24765231507906107,0.2812953160618609,1.0,0.43749084787318443,0.06108797351070841,-0.018086613498988262,-0.025567236393140902,-0.3165902680908373,-0.3177909486037885,0.1652575352234638,0.018704291947432623,0.004142154269967664,-0.04646616924076682
trace_q75,0.833452835228768,0.7088503275262977,0.651519613321683,0.6963672247814459,0.012432412231125553,0.6967180995020399,0.6815186870106257,0.6484316379256165,0.6603210830554624,0.6886854672724732,0.43749084787318443,1.0,0.045845542933960474,-0.013221077701696681,-0.02809366626019468,-0.7141395332187216,-0.718699483354551,0.3386614328962029,0.009923171996385715,-0.029215298255644773,-0.10369191749837772
cipher_mean,0.03386687628329023,0.0626664123030495,-0.005309405900290556,0.0016253442356568186,-0.0004879905644431494,0.003406484321320038,0.008141855902858274,0.0008396003229281287,-0.0034672759486868657,0.003445845334739694,0.06108797351070841,0.045845542933960474,1.0,0.07106748542700286,0.06295814091494444,-0.056644687811658455,-0.058602471186987005,0.007680512722304273,-0.11687235031789465,-0.06584456190778075,-0.004426251979544178
cipher_variance,-0.03797763972306274,-0.011208955750465578,-0.047912480633261256,-0.04248292508285689,-0.012681468084170974,-0.04027806870905216,-0.035760777397038784,-0.035482831135114766,-0.04764984784605997,-0.038099605223128205,-0.018086613498988262,-0.013221077701696681,0.07106748542700286,1.0,0.9953088447455849,0.054464251718990365,0.055546274794934326,-0.011327587020532544,0.08796541068428751,0.07693981059568952,-0.045579354829926984
cipher_std,-0.05562622732628938,-0.019063771773054915,-0.06390534730861812,-0.05980567852297173,-0.014763187849267263,-0.059003297946344756,-0.05466346183647624,-0.05364802636880584,-0.06366429933432377,-0.05635854271181561,-0.025567236393140902,-0.02809366626019468,0.06295814091494444,0.9953088447455849,1.0,0.0771444019338277,0.07784005811020604,-0.026708389780963,0.08378275268492395,0.0788909260515001,-0.04423037745159698
cipher_entropy,-0.8165625151965218,-0.5006441785208658,-0.7112633763985107,-0.7711420639293547,-0.029493187611532357,-0.8052795851029979,-0.832701879121325,-0.7763589371747621,-0.7120997391989451,-0.7938283229258678,-0.3165902680908373,-0.7141395332187216,-0.056644687811658455,0.054464251718990365,0.0771444019338277,1.0,0.9982047220963002,-0.5896832158161379,-0.011657676798272511,-0.04741145647459058,0.09278869529408153
cipher_unique_ratio,-0.8237120493193847,-0.5024857723675579,-0.7197859324160392,-0.7794606164761798,-0.030675485755944552,-0.8133258162575066,-0.8404807554271594,-0.7843721151650136,-0.7205943681598764,-0.801632953251998,-0.3177909486037885,-0.718699483354551,-0.058602471186987005,0.055546274794934326,0.07784005811020604,0.9982047220963002,1.0,-0.5475343071805682,-0.01548092720742934,-0.029659388823237504,0.09725113880507348
cipher_max_symbol_prob,0.3666151880690473,0.2566976762885107,0.2912443850727524,0.3258037247273933,0.02050920632112,0.3530206196457097,0.37120394739201595,0.33660063259995904,0.2921939021587257,0.34691449001890173,0.1652575352234638,0.3386614328962029,0.007680512722304273,-0.011327587020532544,-0.026708389780963,-0.5896832158161379,-0.5475343071805682,1.0,-0.028346870634228014,0.26860343560433825,-0.007904005576618436
cipher_zero_ratio,0.027902287540208962,0.03641303467920164,0.023749926756398754,0.02217921645442739,0.038413679617354944,0.02440214952709401,0.024021587467266264,0.020980685107994283,0.02428428001869705,0.018679056784415733,0.018704291947432623,0.009923171996385715,-0.11687235031789465,0.08796541068428751,0.08378275268492395,-0.011657676798272511,-0.01548092720742934,-0.028346870634228014,1.0,-0.007831312237775187,0.03493557412801497
cipher_adjacent_equal_ratio,-0.04944045502945798,-0.0020078350231157,-0.07502911039205759,-0.06711337035956785,-0.01211120574860493,-0.060467220299522825,-0.049885291784969865,-0.05855740820391324,-0.07433900851068811,-0.05818931798244157,0.004142154269967664,-0.029215298255644773,-0.06584456190778075,0.07693981059568952,0.0788909260515001,-0.04741145647459058,-0.029659388823237504,0.26860343560433825,-0.007831312237775187,1.0,0.050027102315615524
cipher_autocorr1,-0.0866532615728286,-0.09337779132777985,-0.0483980653242611,-0.060769090113660065,0.044643477427558705,-0.06410274265314471,-0.06496870537763345,-0.05963944009753318,-0.04892212069417464,-0.06992437001540434,-0.04646616924076682,-0.10369191749837772,-0.004426251979544178,-0.045579354829926984,-0.04423037745159698,0.09278869529408153,0.09725113880507348,-0.007904005576618436,0.03493557412801497,0.050027102315615524,1.0
